subject,question_type,stimulus_left,stimulus_right,rating
SS1614809596994,similarity,images/stimuli/spore_stims/complex_05_B_b.gif,images/stimuli/spore_stims/complex_05_A_b.gif,5
SS1614809596994,similarity,images/stimuli/spore_stims/complex_02_A_c.gif,images/stimuli/spore_stims/complex_02_B_c.gif,4
SS1614809596994,similarity,images/stimuli/spore_stims/complex_09_A_c.gif,images/stimuli/spore_stims/complex_03_B_b.gif,1
SS1614809596994,similarity,images/stimuli/spore_stims/simple_01_A_b.gif,images/stimuli/spore_stims/simple_09_B_a.gif,2
SS1614809596994,similarity,images/stimuli/spore_stims/complex_16_A_a.gif,images/stimuli/spore_stims/complex_14_A_b.gif,1
SS1614809596994,similarity,images/stimuli/spore_stims/complex_12_A_d.gif,images/stimuli/spore_stims/complex_12_B_d.gif,2
SS1614809596994,similarity,images/stimuli/spore_stims/simple_17_B_c.gif,images/stimuli/spore_stims/simple_09_A_c.gif,1
SS1614809596994,similarity,images/stimuli/spore_stims/complex_02_A_b.gif,images/stimuli/spore_stims/complex_07_A_d.gif,1
SS1614809596994,similarity,images/stimuli/spore_stims/simple_10_A_d.gif,images/stimuli/spore_stims/simple_10_B_d.gif,6
SS1614809596994,similarity,images/stimuli/spore_stims/simple_05_A_b.gif,images/stimuli/spore_stims/simple_05_B_b.gif,5
SS1614809651220,similarity,images/stimuli/spore_stims/simple_17_A_d.gif,images/stimuli/spore_stims/simple_17_B_d.gif,5
SS1614809651220,similarity,images/stimuli/spore_stims/simple_20_B_c.gif,images/stimuli/spore_stims/simple_13_B_c.gif,2
SS1614809651220,similarity,images/stimuli/spore_stims/simple_01_A_d.gif,images/stimuli/spore_stims/simple_01_B_d.gif,5
SS1614809651220,similarity,images/stimuli/spore_stims/simple_12_B_d.gif,images/stimuli/spore_stims/simple_10_A_b.gif,1
SS1614809651220,similarity,images/stimuli/spore_stims/complex_09_B_a.gif,images/stimuli/spore_stims/complex_15_A_c.gif,0
SS1614809651220,similarity,images/stimuli/spore_stims/complex_05_A_a.gif,images/stimuli/spore_stims/complex_05_B_a.gif,5
SS1614809651220,similarity,images/stimuli/spore_stims/simple_18_A_c.gif,images/stimuli/spore_stims/simple_18_B_c.gif,5
SS1614809651220,similarity,images/stimuli/spore_stims/simple_14_B_b.gif,images/stimuli/spore_stims/simple_04_A_b.gif,1
SS1614809651220,similarity,images/stimuli/spore_stims/complex_14_B_d.gif,images/stimuli/spore_stims/complex_03_A_a.gif,0
SS1614809651220,similarity,images/stimuli/spore_stims/complex_03_B_b.gif,images/stimuli/spore_stims/complex_08_A_d.gif,0
SS1614809651220,similarity,images/stimuli/spore_stims/complex_16_B_b.gif,images/stimuli/spore_stims/complex_16_A_b.gif,5
SS1614809651220,similarity,images/stimuli/spore_stims/complex_13_A_a.gif,images/stimuli/spore_stims/complex_13_B_a.gif,6
SS1614809681448,similarity,images/stimuli/spore_stims/simple_11_B_c.gif,images/stimuli/spore_stims/simple_08_B_b.gif,2
SS1614809681448,similarity,images/stimuli/spore_stims/complex_12_B_b.gif,images/stimuli/spore_stims/complex_09_B_a.gif,1
SS1614809681448,similarity,images/stimuli/spore_stims/complex_15_B_a.gif,images/stimuli/spore_stims/complex_15_A_a.gif,3
SS1614809681448,similarity,images/stimuli/spore_stims/complex_04_B_c.gif,images/stimuli/spore_stims/complex_04_A_c.gif,2
SS1614809681448,similarity,images/stimuli/spore_stims/simple_08_A_d.gif,images/stimuli/spore_stims/simple_13_B_a.gif,2
SS1614809681448,similarity,images/stimuli/spore_stims/simple_17_B_c.gif,images/stimuli/spore_stims/simple_17_A_c.gif,5
SS1614809681448,similarity,images/stimuli/spore_stims/simple_06_B_a.gif,images/stimuli/spore_stims/simple_06_A_a.gif,5
SS1614809681448,similarity,images/stimuli/spore_stims/complex_08_B_b.gif,images/stimuli/spore_stims/complex_12_A_d.gif,2
SS1614809681448,similarity,images/stimuli/spore_stims/complex_16_A_c.gif,images/stimuli/spore_stims/complex_02_A_b.gif,1
SS1614809681448,similarity,images/stimuli/spore_stims/complex_01_A_c.gif,images/stimuli/spore_stims/complex_01_B_c.gif,4
SS1614809681448,similarity,images/stimuli/spore_stims/simple_16_A_a.gif,images/stimuli/spore_stims/simple_14_B_b.gif,3
SS1614809681448,similarity,images/stimuli/spore_stims/simple_20_B_b.gif,images/stimuli/spore_stims/simple_20_A_b.gif,3
SS1614809685860,similarity,images/stimuli/spore_stims/complex_17_A_d.gif,images/stimuli/spore_stims/complex_09_A_a.gif,0
SS1614809685860,similarity,images/stimuli/spore_stims/simple_02_A_d.gif,images/stimuli/spore_stims/simple_02_B_d.gif,4
SS1614809685860,similarity,images/stimuli/spore_stims/complex_20_A_b.gif,images/stimuli/spore_stims/complex_20_B_b.gif,4
SS1614809685860,similarity,images/stimuli/spore_stims/simple_03_A_c.gif,images/stimuli/spore_stims/simple_09_B_b.gif,2
SS1614809685860,similarity,images/stimuli/spore_stims/complex_12_B_b.gif,images/stimuli/spore_stims/complex_02_B_a.gif,1
SS1614809685860,similarity,images/stimuli/spore_stims/complex_07_B_b.gif,images/stimuli/spore_stims/complex_07_A_b.gif,4
SS1614809685860,similarity,images/stimuli/spore_stims/simple_02_A_c.gif,images/stimuli/spore_stims/simple_20_B_d.gif,2
SS1614809685860,similarity,images/stimuli/spore_stims/complex_04_B_b.gif,images/stimuli/spore_stims/complex_18_B_b.gif,1
SS1614809685860,similarity,images/stimuli/spore_stims/simple_17_B_c.gif,images/stimuli/spore_stims/simple_17_A_c.gif,5
SS1614809685860,similarity,images/stimuli/spore_stims/complex_14_B_d.gif,images/stimuli/spore_stims/complex_14_A_d.gif,3
SS1614809685860,similarity,images/stimuli/spore_stims/simple_19_A_a.gif,images/stimuli/spore_stims/simple_07_B_b.gif,2
SS1614809685860,similarity,images/stimuli/spore_stims/simple_04_A_d.gif,images/stimuli/spore_stims/simple_04_B_d.gif,4
SS1614809775470,similarity,images/stimuli/spore_stims/simple_16_A_b.gif,images/stimuli/spore_stims/simple_17_B_c.gif,5
SS1614809775470,similarity,images/stimuli/spore_stims/complex_10_A_d.gif,images/stimuli/spore_stims/complex_15_B_a.gif,4
SS1614809775470,similarity,images/stimuli/spore_stims/complex_09_A_b.gif,images/stimuli/spore_stims/complex_09_B_c.gif,6
SS1614809775470,similarity,images/stimuli/spore_stims/complex_13_B_d.gif,images/stimuli/spore_stims/complex_13_A_d.gif,5
SS1614809775470,similarity,images/stimuli/spore_stims/simple_07_A_c.gif,images/stimuli/spore_stims/simple_05_A_d.gif,2
SS1614809775470,similarity,images/stimuli/spore_stims/complex_04_B_a.gif,images/stimuli/spore_stims/complex_04_A_a.gif,4
SS1614809775470,similarity,images/stimuli/spore_stims/simple_12_B_d.gif,images/stimuli/spore_stims/simple_12_A_d.gif,5
SS1614809775470,similarity,images/stimuli/spore_stims/complex_07_A_c.gif,images/stimuli/spore_stims/complex_03_A_b.gif,1
SS1614809775470,similarity,images/stimuli/spore_stims/simple_13_A_d.gif,images/stimuli/spore_stims/simple_13_B_d.gif,6
SS1614809775470,similarity,images/stimuli/spore_stims/complex_02_B_d.gif,images/stimuli/spore_stims/complex_02_A_d.gif,5
SS1614809775470,similarity,images/stimuli/spore_stims/simple_03_A_d.gif,images/stimuli/spore_stims/simple_04_B_d.gif,1
SS1614809775470,similarity,images/stimuli/spore_stims/simple_15_B_c.gif,images/stimuli/spore_stims/simple_15_A_c.gif,6
SS1614809782012,similarity,images/stimuli/spore_stims/complex_09_B_b.gif,images/stimuli/spore_stims/complex_09_A_b.gif,5
SS1614809782012,similarity,images/stimuli/spore_stims/simple_03_B_c.gif,images/stimuli/spore_stims/simple_16_A_a.gif,2
SS1614809782012,similarity,images/stimuli/spore_stims/simple_09_B_c.gif,images/stimuli/spore_stims/simple_09_A_c.gif,6
SS1614809782012,similarity,images/stimuli/spore_stims/simple_14_A_a.gif,images/stimuli/spore_stims/simple_14_B_a.gif,5
SS1614809782012,similarity,images/stimuli/spore_stims/simple_18_B_d.gif,images/stimuli/spore_stims/simple_10_B_d.gif,2
SS1614809782012,similarity,images/stimuli/spore_stims/complex_04_A_a.gif,images/stimuli/spore_stims/complex_04_B_a.gif,4
SS1614809782012,similarity,images/stimuli/spore_stims/simple_19_A_b.gif,images/stimuli/spore_stims/simple_15_B_a.gif,2
SS1614809782012,similarity,images/stimuli/spore_stims/complex_10_B_a.gif,images/stimuli/spore_stims/complex_05_A_d.gif,0
SS1614809782012,similarity,images/stimuli/spore_stims/complex_02_A_c.gif,images/stimuli/spore_stims/complex_01_A_a.gif,0
SS1614809782012,similarity,images/stimuli/spore_stims/simple_01_B_c.gif,images/stimuli/spore_stims/simple_01_A_c.gif,6
SS1614809782012,similarity,images/stimuli/spore_stims/complex_12_B_a.gif,images/stimuli/spore_stims/complex_12_A_a.gif,4
SS1614809782012,similarity,images/stimuli/spore_stims/complex_07_A_d.gif,images/stimuli/spore_stims/complex_01_B_a.gif,0
SS1614809897443,similarity,images/stimuli/spore_stims/complex_17_B_d.gif,images/stimuli/spore_stims/complex_04_A_d.gif,2
SS1614809897443,similarity,images/stimuli/spore_stims/simple_19_B_b.gif,images/stimuli/spore_stims/simple_19_A_b.gif,5
SS1614809897443,similarity,images/stimuli/spore_stims/complex_14_B_d.gif,images/stimuli/spore_stims/complex_14_A_d.gif,5
SS1614809897443,similarity,images/stimuli/spore_stims/complex_18_A_a.gif,images/stimuli/spore_stims/complex_18_B_a.gif,5
SS1614809897443,similarity,images/stimuli/spore_stims/simple_18_A_a.gif,images/stimuli/spore_stims/simple_18_B_a.gif,4
SS1614809897443,similarity,images/stimuli/spore_stims/simple_07_B_c.gif,images/stimuli/spore_stims/simple_03_A_b.gif,2
SS1614809897443,similarity,images/stimuli/spore_stims/simple_11_B_a.gif,images/stimuli/spore_stims/simple_11_A_a.gif,4
SS1614809897443,similarity,images/stimuli/spore_stims/complex_03_B_d.gif,images/stimuli/spore_stims/complex_06_B_d.gif,1
SS1614809897443,similarity,images/stimuli/spore_stims/simple_07_A_c.gif,images/stimuli/spore_stims/simple_09_B_d.gif,2
SS1614809897443,similarity,images/stimuli/spore_stims/simple_15_A_a.gif,images/stimuli/spore_stims/simple_16_B_b.gif,2
SS1614809897443,similarity,images/stimuli/spore_stims/complex_20_A_d.gif,images/stimuli/spore_stims/complex_08_A_c.gif,2
SS1614809897443,similarity,images/stimuli/spore_stims/complex_13_A_a.gif,images/stimuli/spore_stims/complex_13_B_a.gif,6
